3513706.30297421,5404591.02408252,225.534280598472,0,0,203,25
3513707.79539378,5404592.61006646,225.528207598472,0,0,183,25
3513708.78388663,5404593.68764062,225.522500598472,0,0,171,25
3513709.98403069,5404595.02072075,225.514047598472,0,0,155,25
3513710.72566549,5404595.86006358,225.507852598472,0,0,143,25
3513711.22492531,5404596.43113715,225.503304598472,0,0,135,25
3513711.53687254,5404596.79038983,225.500314598472,0,0,135,25
3513711.70036269,5404596.97942068,225.498696598472,0,0,131,25
3513691.67400264,5404604.43114529,226.261300598472,0,108,255,26
3513694.49052915,5404607.39750773,226.253610598472,0,124,255,26
3513700.36023669,5404614.05650199,226.208352598472,0,155,255,26
3513703.88628122,5404618.34937555,226.163156598472,0,167,255,26
3513711.0324367,5404627.51120962,226.055642598472,0,183,255,26
3513726.2430036,5404647.8078966,225.821145598472,0,223,255,26
3513741.80711682,5404668.91079138,225.573922598472,0,251,255,26
3513761.84831905,5404696.16357768,225.243234598472,28,255,227,26
3513781.70876357,5404723.15861649,224.903237598472,52,255,203,26
3513801.14159941,5404749.60383028,224.547250598472,76,255,179,26
3513804.03269034,5404753.53969976,224.491494598472,92,255,163,26
